                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4399,                 1.5663,                 1.7958,                 0.6397,                0.58757,                0.65638,                0.35498,                 1.5666,                 1.5071,                   1.89,               0.008317,               0.008317,               0.008317
                     36,                 1.4308,                   1.56,                  1.789,                0.63943,                0.62679,                 0.6703,                  0.357,                 1.5812,                 1.4605,                 1.8753,              0.0082675,              0.0082675,              0.0082675
                     37,                 1.4386,                 1.5667,                 1.8016,                0.62869,                0.64014,                 0.6727,                0.36687,                  1.562,                 1.4788,                 1.8854,               0.008218,               0.008218,               0.008218
                     38,                  1.423,                  1.535,                  1.787,                0.57751,                0.54354,                0.58431,                0.29076,                 1.7301,                 1.7034,                 2.0325,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.4186,                 1.5357,                 1.7812,                0.59073,                0.63228,                0.64954,                 0.3531,                 1.5636,                 1.5101,                 1.8883,               0.008119,               0.008119,               0.008119
                     40,                 1.4235,                 1.5502,                 1.7884,                0.64761,                 0.6326,                0.67113,                0.35857,                 1.5483,                 1.4861,                 1.8739,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.4185,                 1.5228,                 1.7794,                0.62617,                0.61957,                0.65915,                0.35689,                 1.5651,                 1.5065,                 1.9044,                0.00802,                0.00802,                0.00802
                     42,                 1.4217,                 1.5217,                 1.7797,                 0.6091,                0.65017,                0.67657,                 0.3655,                 1.5581,                 1.4604,                   1.88,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.3985,                 1.4965,                 1.7603,                0.60241,                0.64434,                0.67796,                0.36478,                 1.5373,                 1.4553,                 1.8703,               0.007921,               0.007921,               0.007921
                     44,                 1.4198,                 1.5253,                 1.7826,                0.68404,                0.64323,                0.69688,                0.37926,                  1.564,                   1.39,                 1.8593,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.4049,                 1.4727,                 1.7562,                0.67649,                0.64039,                0.68672,                0.35946,                 1.5976,                 1.4234,                 1.8999,               0.007822,               0.007822,               0.007822
                     46,                 1.4045,                 1.4862,                 1.7649,                0.58413,                0.61901,                0.65082,                0.36402,                  1.548,                  1.486,                 1.8699,              0.0077725,              0.0077725,              0.0077725
                     47,                 1.4022,                 1.4836,                 1.7602,                0.60094,                0.62306,                0.65129,                0.35387,                 1.5621,                  1.521,                 1.8843,               0.007723,               0.007723,               0.007723
                     48,                 1.3984,                 1.4654,                 1.7546,                0.58418,                0.62828,                0.62859,                0.32781,                 1.6073,                   1.53,                 1.9064,              0.0076735,              0.0076735,              0.0076735
                     49,                 1.3974,                 1.4762,                 1.7555,                 0.6891,                0.63092,                0.69524,                0.38214,                 1.5419,                 1.3937,                 1.8535,               0.007624,               0.007624,               0.007624
                     50,                 1.3909,                 1.4535,                 1.7486,                0.63675,                0.65099,                0.69026,                0.37442,                 1.5696,                 1.4203,                 1.8685,              0.0075745,              0.0075745,              0.0075745
                     51,                 1.3818,                 1.4613,                 1.7488,                0.60758,                0.60545,                0.63045,                0.33956,                 1.5838,                 1.5466,                 1.9062,               0.007525,               0.007525,               0.007525
                     52,                  1.382,                 1.4462,                 1.7381,                0.61176,                0.58676,                0.62257,                0.32235,                 1.6443,                 1.5754,                 1.9641,              0.0074755,              0.0074755,              0.0074755
                     53,                  1.385,                 1.4554,                 1.7464,                 0.6745,                0.65325,                0.70528,                0.38179,                 1.5232,                 1.3884,                 1.8538,               0.007426,               0.007426,               0.007426
                     54,                 1.3787,                 1.4265,                 1.7356,                0.63437,                0.62623,                0.65769,                 0.3374,                  1.656,                 1.4854,                 1.9619,              0.0073765,              0.0073765,              0.0073765
                     55,                 1.3723,                 1.4198,                 1.7305,                0.61061,                0.63762,                0.67075,                0.35081,                 1.5917,                 1.4322,                 1.9021,               0.007327,               0.007327,               0.007327
                     56,                 1.3728,                 1.4254,                  1.736,                0.66959,                0.68911,                0.73294,                0.41065,                 1.5035,                 1.3039,                 1.8077,              0.0072775,              0.0072775,              0.0072775
                     57,                 1.3589,                 1.4007,                 1.7245,                0.63813,                0.62981,                0.67179,                0.35105,                 1.6623,                 1.4595,                 1.9544,               0.007228,               0.007228,               0.007228
                     58,                 1.3654,                 1.3997,                 1.7176,                0.68508,                0.66428,                0.71696,                 0.4039,                 1.5195,                 1.3305,                 1.8332,              0.0071785,              0.0071785,              0.0071785
                     59,                 1.3648,                  1.425,                 1.7232,                0.66734,                0.65764,                0.71046,                0.39387,                 1.5103,                  1.355,                 1.8168,               0.007129,               0.007129,               0.007129
                     60,                 1.3554,                 1.3767,                 1.7124,                0.59895,                0.60289,                0.62747,                0.31464,                 1.6824,                 1.5114,                 2.0001,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.3528,                 1.4025,                 1.7164,                0.66443,                0.67021,                0.71255,                0.40026,                 1.5034,                 1.3342,                 1.8175,                0.00703,                0.00703,                0.00703
                     62,                  1.362,                 1.3749,                 1.7117,                0.68002,                0.66623,                0.72737,                 0.4061,                 1.4971,                 1.2983,                 1.8024,              0.0069805,              0.0069805,              0.0069805
                     63,                  1.347,                 1.3804,                 1.7065,                0.67393,                0.67786,                0.72905,                 0.4169,                  1.478,                 1.3021,                 1.7966,               0.006931,               0.006931,               0.006931
                     64,                 1.3484,                  1.377,                 1.7054,                0.67478,                0.66137,                0.71605,                0.39572,                 1.5253,                 1.3363,                 1.8402,              0.0068815,              0.0068815,              0.0068815
                     65,                  1.352,                 1.3693,                 1.7148,                 0.6673,                0.67159,                0.72044,                0.41122,                 1.4805,                 1.2883,                 1.8012,               0.006832,               0.006832,               0.006832
                     66,                 1.3368,                 1.3664,                 1.6983,                0.67961,                0.68718,                0.72641,                0.41954,                 1.4633,                 1.2745,                 1.7844,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.3391,                 1.3544,                 1.6975,                0.65515,                0.69038,                0.72065,                  0.405,                 1.4898,                 1.2941,                 1.7985,               0.006733,               0.006733,               0.006733
                     68,                 1.3247,                 1.3587,                 1.6914,                0.66482,                0.68552,                 0.7214,                0.40915,                  1.479,                 1.2894,                 1.7865,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.3355,                 1.3439,                 1.6948,                0.69391,                0.69733,                 0.7393,                0.42116,                 1.4753,                 1.2541,                 1.7899,               0.006634,               0.006634,               0.006634
                     70,                 1.3242,                 1.3663,                  1.698,                 0.6993,                0.65001,                0.70935,                 0.3873,                 1.5077,                 1.3261,                  1.824,              0.0065845,              0.0065845,              0.0065845
                     71,                 1.3353,                  1.354,                 1.6963,                0.67415,                0.68157,                0.72587,                  0.411,                 1.4992,                 1.2639,                 1.8063,               0.006535,               0.006535,               0.006535
                     72,                 1.3299,                 1.3505,                 1.6936,                0.70616,                0.68469,                0.74255,                 0.4177,                 1.4774,                 1.2524,                 1.7925,              0.0064855,              0.0064855,              0.0064855
                     73,                 1.3199,                 1.3358,                  1.684,                0.68402,                0.69753,                0.73874,                0.41986,                 1.4822,                 1.2459,                 1.7954,               0.006436,               0.006436,               0.006436
                     74,                 1.3238,                   1.34,                 1.6853,                0.68459,                0.68811,                 0.7392,                0.42259,                 1.4673,                   1.26,                 1.7904,              0.0063865,              0.0063865,              0.0063865
                     75,                 1.3199,                 1.3187,                 1.6866,                0.69084,                 0.6966,                 0.7461,                0.42806,                 1.4624,                 1.2558,                  1.782,               0.006337,               0.006337,               0.006337
                     76,                 1.3145,                 1.3233,                 1.6776,                0.70304,                 0.6916,                0.74346,                0.42142,                 1.4811,                 1.2469,                  1.781,              0.0062875,              0.0062875,              0.0062875
                     77,                 1.3189,                 1.3115,                 1.6807,                0.70154,                0.68816,                0.73981,                0.42186,                 1.4943,                 1.2389,                 1.7992,               0.006238,               0.006238,               0.006238
                     78,                 1.3161,                 1.3096,                 1.6778,                0.70942,                0.69719,                0.74845,                0.42475,                 1.4738,                 1.2381,                 1.7771,              0.0061885,              0.0061885,              0.0061885
                     79,                 1.2991,                 1.3126,                   1.67,                0.69384,                0.69268,                0.73917,                0.42312,                 1.4748,                 1.2536,                 1.8013,               0.006139,               0.006139,               0.006139
                     80,                 1.3086,                  1.299,                 1.6727,                    0.7,                0.69664,                0.74478,                0.43317,                 1.4551,                 1.2246,                 1.7752,              0.0060895,              0.0060895,              0.0060895
                     81,                 1.3017,                 1.3055,                 1.6702,                0.72571,                0.67895,                0.74528,                0.43197,                 1.4716,                 1.2149,                 1.7799,                0.00604,                0.00604,                0.00604
                     82,                 1.2956,                 1.2982,                 1.6633,                0.67887,                0.70898,                0.74467,                 0.4282,                 1.4694,                 1.2422,                 1.7749,              0.0059905,              0.0059905,              0.0059905
                     83,                 1.2969,                 1.2783,                 1.6553,                0.70931,                0.71784,                0.74999,                0.43711,                 1.4555,                 1.2087,                 1.7708,               0.005941,               0.005941,               0.005941
                     84,                 1.2951,                 1.2809,                 1.6605,                0.72747,                0.71557,                0.75748,                 0.4382,                 1.4555,                 1.1919,                  1.773,              0.0058915,              0.0058915,              0.0058915
                     85,                  1.296,                 1.2907,                 1.6584,                 0.7147,                0.70683,                0.74892,                  0.434,                  1.455,                 1.1953,                 1.7825,               0.005842,               0.005842,               0.005842
