                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    145,                 1.1236,                 1.0192,                 1.4961,                0.75803,                0.76004,                0.80398,                0.48408,                 1.4105,                 1.0498,                 1.7306,               0.002872,               0.002872,               0.002872
                    146,                 1.1176,                   1.01,                 1.4904,                0.75531,                0.76351,                0.80029,                0.48279,                  1.412,                  1.051,                  1.732,              0.0028225,              0.0028225,              0.0028225
                    147,                 1.1136,                0.99583,                 1.4878,                0.75326,                0.75793,                0.80024,                0.48295,                 1.4148,                 1.0497,                 1.7397,               0.002773,               0.002773,               0.002773
                    148,                 1.1058,                0.99261,                 1.4805,                 0.7581,                0.76047,                0.80063,                0.48168,                  1.416,                 1.0459,                 1.7401,              0.0027235,              0.0027235,              0.0027235
                    149,                 1.1067,                0.99937,                 1.4831,                0.75719,                0.76343,                0.80399,                0.48276,                 1.4101,                 1.0431,                 1.7298,               0.002674,               0.002674,               0.002674
                    150,                 1.1014,                0.99123,                 1.4775,                0.77647,                0.74717,                0.80515,                0.48128,                 1.4076,                  1.042,                   1.73,              0.0026245,              0.0026245,              0.0026245
                    151,                 1.1063,                 1.0055,                 1.4859,                0.77082,                0.75356,                 0.8035,                0.48138,                 1.4076,                 1.0402,                 1.7299,               0.002575,               0.002575,               0.002575
                    152,                 1.0997,                0.99769,                 1.4779,                0.75175,                0.76451,                0.80623,                 0.4862,                 1.4057,                 1.0377,                 1.7307,              0.0025255,              0.0025255,              0.0025255
                    153,                 1.0922,                0.97612,                 1.4689,                0.76955,                0.76268,                0.80904,                0.48762,                 1.4074,                 1.0351,                 1.7341,               0.002476,               0.002476,               0.002476
                    154,                 1.1033,                0.99403,                 1.4769,                0.75796,                0.77095,                0.80491,                0.48723,                 1.4031,                 1.0319,                 1.7297,              0.0024265,              0.0024265,              0.0024265
                    155,                 1.0817,                0.98007,                 1.4621,                0.77234,                 0.7684,                0.80923,                0.48818,                 1.4039,                 1.0304,                 1.7281,               0.002377,               0.002377,               0.002377
                    156,                 1.0777,                0.96038,                 1.4574,                0.76952,                 0.7714,                0.81117,                0.48881,                 1.4038,                 1.0281,                 1.7271,              0.0023275,              0.0023275,              0.0023275
                    157,                 1.0865,                0.98104,                 1.4663,                0.77134,                 0.7678,                0.81074,                 0.4905,                 1.4048,                 1.0247,                 1.7297,               0.002278,               0.002278,               0.002278
                    158,                 1.0754,                0.96584,                 1.4551,                0.75917,                0.76411,                0.81071,                0.49055,                 1.4049,                 1.0207,                 1.7309,              0.0022285,              0.0022285,              0.0022285
                    159,                 1.0793,                0.96773,                 1.4563,                0.75899,                 0.7721,                0.81073,                0.49061,                 1.4038,                 1.0204,                 1.7279,               0.002179,               0.002179,               0.002179
                    160,                 1.0778,                0.95729,                 1.4559,                0.77065,                 0.7674,                0.81028,                0.49012,                 1.4095,                 1.0166,                 1.7332,              0.0021295,              0.0021295,              0.0021295
                    161,                 1.0772,                0.95786,                 1.4554,                0.75718,                0.77747,                 0.8121,                0.49123,                 1.4078,                 1.0148,                 1.7304,                0.00208,                0.00208,                0.00208
                    162,                 1.0637,                0.95493,                 1.4458,                0.76673,                0.77161,                0.81082,                0.49207,                  1.408,                 1.0157,                  1.732,              0.0020305,              0.0020305,              0.0020305
                    163,                 1.0688,                0.96237,                 1.4508,                0.78096,                0.76921,                 0.8114,                0.49185,                 1.4065,                 1.0153,                 1.7312,               0.001981,               0.001981,               0.001981
                    164,                 1.0632,                0.94769,                 1.4453,                0.79358,                0.75868,                0.81253,                0.49292,                 1.4051,                 1.0095,                 1.7326,              0.0019315,              0.0019315,              0.0019315
                    165,                 1.0559,                0.94425,                 1.4391,                0.78013,                0.76593,                 0.8118,                0.49165,                 1.4074,                 1.0112,                 1.7317,               0.001882,               0.001882,               0.001882
                    166,                 1.0633,                0.94139,                 1.4438,                0.76505,                0.77133,                0.81332,                0.49416,                 1.4061,                 1.0058,                  1.733,              0.0018325,              0.0018325,              0.0018325
                    167,                 1.0566,                0.93338,                 1.4358,                  0.771,                0.76985,                0.81335,                0.49356,                  1.402,                 1.0067,                 1.7291,               0.001783,               0.001783,               0.001783
                    168,                 1.0426,                0.93123,                 1.4281,                0.76867,                0.77267,                0.81403,                0.49533,                 1.4022,                 1.0053,                 1.7295,              0.0017335,              0.0017335,              0.0017335
                    169,                 1.0471,                0.92941,                 1.4293,                 0.7573,                0.77861,                0.81533,                0.49509,                  1.403,                  1.005,                 1.7319,               0.001684,               0.001684,               0.001684
                    170,                 1.0531,                  0.939,                 1.4319,                0.77895,                0.76629,                0.81638,                0.49421,                 1.4066,                 1.0023,                  1.735,              0.0016345,              0.0016345,              0.0016345
                    171,                 1.0395,                 0.9178,                 1.4221,                0.78516,                0.76649,                0.81484,                0.49301,                 1.4071,                 1.0072,                 1.7385,               0.001585,               0.001585,               0.001585
                    172,                 1.0389,                0.92772,                 1.4243,                 0.7772,                0.76391,                0.81256,                0.49313,                 1.4065,                 1.0094,                 1.7417,              0.0015355,              0.0015355,              0.0015355
                    173,                 1.0298,                0.90375,                 1.4146,                0.77322,                0.76848,                0.81305,                0.49398,                  1.406,                 1.0104,                 1.7431,               0.001486,               0.001486,               0.001486
                    174,                 1.0299,                 0.9067,                 1.4189,                0.77722,                0.77043,                0.81563,                0.49365,                 1.4107,                 1.0131,                  1.745,              0.0014365,              0.0014365,              0.0014365
                    175,                 1.0372,                0.91732,                 1.4252,                0.77862,                0.77127,                0.81646,                0.49536,                 1.4106,                 1.0082,                 1.7454,               0.001387,               0.001387,               0.001387
                    176,                 1.0375,                0.91758,                 1.4236,                0.77719,                0.77363,                0.81779,                0.49609,                 1.4102,                 1.0044,                 1.7457,              0.0013375,              0.0013375,              0.0013375
                    177,                 1.0241,                0.90543,                  1.412,                0.78279,                0.76197,                 0.8153,                0.49383,                 1.4099,                 1.0062,                 1.7457,               0.001288,               0.001288,               0.001288
                    178,                  1.025,                 0.9008,                  1.406,                 0.7888,                0.76319,                0.81494,                0.49456,                 1.4095,                 1.0081,                 1.7453,              0.0012385,              0.0012385,              0.0012385
                    179,                 1.0222,                0.90024,                 1.4083,                0.78572,                0.76521,                0.81596,                0.49465,                 1.4108,                 1.0082,                 1.7462,               0.001189,               0.001189,               0.001189
                    180,                  1.015,                0.89129,                 1.4038,                0.79098,                0.76405,                0.81567,                0.49389,                 1.4111,                 1.0076,                 1.7454,              0.0011395,              0.0011395,              0.0011395
                    181,                 1.0062,                0.87987,                 1.3958,                 0.7981,                0.76268,                0.81655,                0.49539,                 1.4092,                 1.0062,                 1.7457,                0.00109,                0.00109,                0.00109
                    182,                 1.0109,                0.88934,                 1.3979,                0.79664,                0.76582,                  0.816,                 0.4951,                 1.4089,                 1.0042,                 1.7469,              0.0010405,              0.0010405,              0.0010405
                    183,                 1.0077,                0.88501,                 1.3943,                0.79878,                0.76958,                0.81702,                0.49537,                 1.4119,                 1.0022,                  1.751,               0.000991,               0.000991,               0.000991
                    184,                 1.0014,                0.88368,                 1.3931,                0.78869,                0.77626,                0.81759,                0.49636,                 1.4104,                 1.0003,                 1.7511,              0.0009415,              0.0009415,              0.0009415
                    185,                 1.0101,                0.87967,                 1.3943,                0.79385,                0.76753,                0.81833,                0.49672,                 1.4105,                0.99855,                 1.7531,               0.000892,               0.000892,               0.000892
                    186,                 1.0175,                0.89028,                 1.4048,                0.79776,                0.77061,                0.81945,                0.49687,                 1.4106,                0.99856,                 1.7532,              0.0008425,              0.0008425,              0.0008425
                    187,                 1.0007,                0.87564,                 1.3889,                0.79285,                0.77028,                0.82011,                0.49703,                 1.4117,                 1.0009,                 1.7553,               0.000793,               0.000793,               0.000793
                    188,                 0.9912,                0.87166,                 1.3858,                0.79342,                0.77696,                0.82064,                0.49795,                 1.4124,                 1.0011,                 1.7563,              0.0007435,              0.0007435,              0.0007435
                    189,                0.99582,                0.86945,                 1.3855,                0.78868,                0.78083,                0.82178,                0.49866,                 1.4106,                 1.0012,                 1.7547,               0.000694,               0.000694,               0.000694
                    190,                0.99003,                0.85855,                 1.3843,                0.79164,                 0.7749,                0.82212,                0.49892,                 1.4083,                 1.0009,                 1.7534,              0.0006445,              0.0006445,              0.0006445
                    191,                0.92739,                0.73917,                 1.3464,                0.78818,                 0.7736,                 0.8199,                0.49839,                 1.4086,                 1.0001,                 1.7549,               0.000595,               0.000595,               0.000595
                    192,                0.89933,                0.68688,                 1.3272,                0.79996,                0.76841,                0.81899,                0.49925,                 1.4086,                0.99854,                 1.7563,              0.0005455,              0.0005455,              0.0005455
                    193,                0.88171,                0.67457,                  1.308,                0.79185,                0.77389,                 0.8186,                0.49919,                 1.4101,                0.99641,                   1.76,               0.000496,               0.000496,               0.000496
                    194,                0.87648,                0.66949,                 1.3021,                0.79045,                0.77289,                0.81751,                0.49944,                 1.4097,                0.99538,                 1.7615,              0.0004465,              0.0004465,              0.0004465
                    195,                0.88638,                0.67141,                 1.3123,                 0.7877,                0.77238,                0.81724,                0.49968,                 1.4106,                0.99541,                 1.7649,               0.000397,               0.000397,               0.000397
                    196,                0.86945,                0.65703,                 1.3037,                0.78628,                0.77461,                0.81698,                 0.4998,                 1.4109,                0.99476,                 1.7673,              0.0003475,              0.0003475,              0.0003475
                    197,                0.86659,                0.65577,                 1.2969,                0.78215,                0.77799,                0.81646,                0.50062,                 1.4112,                0.99555,                 1.7682,               0.000298,               0.000298,               0.000298
                    198,                0.86104,                0.64921,                 1.2947,                0.78657,                0.77824,                0.81565,                0.50036,                 1.4123,                0.99531,                 1.7713,              0.0002485,              0.0002485,              0.0002485
                    199,                0.85054,                0.64687,                 1.2874,                0.78754,                0.77803,                0.81668,                0.50072,                 1.4123,                0.99524,                 1.7724,               0.000199,               0.000199,               0.000199
                    200,                0.84904,                 0.6366,                 1.2831,                0.78798,                0.78021,                 0.8179,                0.50113,                 1.4144,                0.99386,                 1.7755,              0.0001495,              0.0001495,              0.0001495
